.,English
quest.name,Arkham Stories - Wendy Adams
quest.description,|||A scenario for the "Arkham Stories" project. \n --------------------------------------------- \n Wendy Adams tries to leave her miserable life behind by organizing an escape plan with a young man she has met at the club where she works. \n Both decide to also take Denise, who has become Wendy's best friend since they met at the club. \n The three decide to stay at an abandoned hotel run by the Foster family, but there Wendy discovers that greed for the power of the unknown makes the people she trusts the most a problem. \n\n <i>Everyone should know that greed, knowledge, and power can drive even the sanest person to madness</i>. \n--------------------------------------------\n It's mandatory to use <b>Wendy Adams</b> investigator. \n It only requires Mansions of Madness, a second edition core box. \n May contain foul language. \n *"3 actions per turn" house rule is recommended to progress through the scenario.|||
quest.synopsys,Wendy discovers the great power she has been carrying over the years but at a high price.
UI_Texto_Inicio.uitext,"<i>October, 17th 1947 \n\n \n\n It's my sixteenth birthday. \n\n The club stinks horribly of tobacco, and the smug rich men squander their money endlessly to show the rest who has the most power in town. \n Tonight, Bobby will get me out of this degrading place. We'll take Denise with us. I don't want to leave her alone to do the bidding of these ruffians. Those labors are over. Now it's our turn to live and start from scratch, far away from this place.</i> \n\n \n\n \n\n \n\n \n"
Event_JUGADOR_SIN_WENDY.text,"It is not possible to play this scenario if investigator Wendy Adams has not been chosen as the investigator selector. \n Please restart the scenario by choosing <b>Wendy Adams</b>."
Event_JUGADOR_SIN_WENDY.button1,Continue
UI_Inicio_Continuar.button1,Botón1
UI_Texto_Bobby.uitext,"After finishing the job, Bobby is waiting you in the car behind the back door to help you escape from the club without being seen. \n\n The idea is to take you to his father's old business, an abandoned hotel that was at its best in the 1930s, but after rumors of ghosts and lurid sounds in the night, the hotel's shabby reputation forced the Foster family to close the business before they went bankrupt. \n\n Bobby never mentioned these rumors to you. \n\n Now it would be your temporary shelter, you would have a roof over your head and a bed to sleep in until you had a chance to get out of that town to a better place. \n"
Event_BOBBY_FUERA.button1,Continue
UI_Texto_Espejo_Wendy.uitext,"For as long as you can remember you have been working in one way or another in high-class clubs to survive after your parents' disappearance. \n\n You have an excellent friendship with another of the young girls who work there, <color=magenta><b>Denise</b></color>. She has no family either, and you have always leaned on each other, and you even share a room in the basement of the club after your workday finishes. Without much effort, she agreed to go with you and leave the place. \n\n <color=aqua><b>Bobby Foster</b></color> is a guy you met at the club. His father forces him to attend these places to have more influence with other tycoons in the industry, as he will be the next owner of his father's company. \n Luckily, Bobby hit it off with you. You knew he liked you. And you took advantage of the situation to make a plan to help you escape from the place without leaving a trace. You were objects of use to the more powerful men who passed by. You had no permission or way to leave that world once you were inside."
UI_Continuar_Inicio2.button1,Botón1
UI_Continuar_Bobby.button1,Botón1
Event_PASOS_CLUB.button1,Success {success}
Event_PASOS_CLUB.button2,Magnifying glass {clue}
Event_PASOS_CLUB.button3,Empty face
Event_EXITO_COCHE.button1,Continue
Event_PASOS_CLUB.text,"As you and Denise head for the door, you hear footsteps coming down the corridor towards you. \n\n Note: Roll a die and mark the result of your roll. You cannot use magnifying glasses to obtain success."
Event_SIN_EXITO_COCHE.text,"You quickly hide under the kitchen table, holding your breath as long as possible. \n\n A glass of water suddenly falls right next to you ({agility}: 2). If you pass, you move to the side before one of those crystals cuts you. If you fail, suffer 1 facedown Damage. \n\n After this, the person who had entered disappears from the kitchen without seing you."
Event_EXITO_COCHE.text,"Luckily you heard the footsteps in time and hid behind the kitchen door. A few minutes later the club employee leaves the room without realizing you were there. \n Nobody has seen you."
Event_SIN_EXITO_COCHE.button1,Continue
Event_LLEGAIS_HOTEL.text,"After a long drive, the three of you arrive at the hotel as planned. It is on the outskirts of town surrounded by trees and bushes, next to the river. As expected, the hotel had no electricity, but Bobby brought some torches. You could use them at night. \n\n Gain the {c:QItem_Linterna} Common Item."
Event_LLEGAIS_HOTEL.button1,Continue
Event_ENTRAS_HOTEL.button1,Continue
Token_Bobby1.button1,Botón1
Event_ENTRAS_HOTEL.text,"Bobby asks you to choose a room for each of you. He will sleep in another of the hotel rooms. \n\n Place the <color=#e3b529>{c:Tile_Habitaciones}</color> Tile, the <color=grey><i>Sight</i></color> token and the Person tokens: <color=magenta> <i>Denise</i></color> (Othera Gilman) and <color=aqua><i>Bobby Foster</i></color>, as indicated. \n\n Place your investigator <b>Wendy Adams</b> as indicated."
Event_Bobby1_G_A.button3,Cancel
Event_Bobby1_G_A.text,Bobby has been very kind to you.
Event_Control1_Bobby.button1,Botón1
Event_Bobby1_G_A.button1,|||{action} "Thanks for helping us."|||
Event_GRACIAS_BOBBY.text,|||<color=aqua><i>"I had to get you out of there. I do not want to be a participant in the macabre 'services' that they forced you to do in the club."</i></color>|||
Event_GRACIAS_BOBBY.button1,Continue
Event_ACARICIAS_BOBBY.text,"You give Bobby a romantic gesture, which he returns with the same interest. \n You notice Denise is a little uncomfortable witnessing this gesture."
Event_Bobby1_G_A.button2,{action} Stroke his hand ({influence}: 2)
Event_ACARICIAS_BOBBY.button1,Continue
Event_Bobby1_G.text,Bobby's gesture has been really special.
Event_Bobby1_G.button1,|||{action} "Thanks for helping us."|||
Event_Bobby1_A.text,Bobby has been very kind to you.
Event_Bobby1_A.button1,{action} Stroke his hand ({influence}: 2)
Event_Bobby1_A.button2,Cancel
Event_Bobby1_G.button2,Cancel
Event_Bobby1_Todas.text,|||<color=aqua><i>"I will leave my things in my room. See you later."</i></color> \n\n Remove the Bobby Foster's token.|||
Event_Bobby1_Todas.button1,Continue
Token_Dennis1.button1,Botón1
Event_Dennis_H_A.button2,{action} Hug her ({influence}: 1)
Event_Dennis_H_A.button3,Cancel
Event_Dennis_H_A.button1,|||{action} "Which room do you choose?"|||
Event_Control1_Dennis.button1,Botón1
Event_HABITACION_DENNIS.text,|||<i>"You choose first Wendy. Thanks to you we escaped from the club. You've done a good job with Bobby. We can start from scratch with his help. He has a lot of money. We should keep him close."</i> \n\n Gain 1 Clue <color=green><b>{clue}</b></color>.|||
Event_HABITACION_DENNIS.button1,Continue
Event_Dennis1_Todas.text,Denise is impatient to start a new life.
Event_Dennis_H_A.text,Denise brings only a small backpack with her things.
Event_Dennis1_Todas.button1,Continue
Event_ABRAZAS_DENNIS.text,"You give Denise a euphoric hug celebrating your escape from the club together. \n She hugs you back in kind."
Event_ABRAZAS_DENNIS.button1,Continue
Token_Vistazo_Hab1.button1,Botón1
Event_Control1_Hab1.text,The door to this first room is ajar. You can take a quick peek from here by pointing the torch. {observation}
Event_Control1_Hab1.button1,Examine
Event_Control1_Hab1.button2,Cancel
Event_Control1_Hab2.button1,Examine
Event_Control2_Dennis.text,|||<color=magenta><i>"Wendy, what room do you choose?"</i></color>|||
Event_Control1_Hab2.text,The door to this second room is ajar. You can take a quick peek from here by pointing the torch. {observation}
Event_Control2_Dennis.button1,{action} Room #1
Event_Control2_Dennis.button2,{action} Room #2
Event_Control2_Dennis.button3,Cancel
Event_OBSERVAS_HAB1.text,"You shine the torch and see only one book standing out on the bed in the bedroom. What is that book? \n\n Remove the Sight token."
Event_OBSERVAS_HAB1.button1,Continue
Event_OBSERVAS_HAB2.text,"You shine the torch and only see a small object on the bedside table stand out. \n\n Place the <b>Shelf</b> token as indicated. \n Remove the Sight token."
Event_OBSERVAS_HAB2.button1,Continue
Event_Control1_Pasillo1.text,Choose one of the rooms first and leave your things before continuing to investigate.
Event_Control0_Bobby3.button1,Botón1
Event_Control1_Pasillo1.button1,Continue
Token_Vistazo_Hab2.button1,Botón1
Event_FICHAS.text,"<color=grey><b>Sight tokens:</b></color> 4 \n\n <color=yellow><b>Search tokens:</b></color> 13 \n\n <color=blue><b>Interaction tokens:</b></color> 1 \n\n <color=red><b>Explore tokens:</b></color> 6"
Event_Control1_Puerta_hab2.text,Before accommodating, tell Denise the room you choose.
Event_Control1_Puerta_hab2.button1,Continue
Event_Control1_Puerta_hab1.text,Before accommodating, tell Denise the room you choose.
Event_Control1_Puerta_hab1.button1,Continue
Event_DECIRLE_A_DENNIS.button1,Continue
Event_Control1_Hab2.button2,Cancel
Event_NO_OBSERVAS_HABS.text,It is quite dark, maybe you should take a second look with the flashlight.
Event_NO_OBSERVAS_HABS.button1,Continue
Event_ESCOGES_HAB1.text,|||Denise nods and goes to the other room to leave her things. \n <color=magenta><i>"It's too late. Let's leave our things and go to sleep. Tomorrow will be a new day."</i></color> \n\n Remove Denise's (Othera Gilman) token.|||
Event_ESCOGES_HAB1.button1,Continue
Event_ESCOGES_HAB2.text,"Denise nods and goes into the other room to put her things away. \n\n Remove the Denise token (Othera Gilman)."
Event_ESCOGES_HAB2.button1,Continue
Event_DECIRLE_A_DENNIS.text,<i>I should tell Denise the room in which I'm going to stay.</i>
Event_DUERMES_HAB1.button1,Continue
Event_DUERMES_HAB2.text,"You go to your room and pick up the object that was on the nightstand. \n\n You get the <b>{c:QItem_Pata_Conejo}</b> Common Item. \n\n It's late. Time to go to sleep."
Event_DUERMES_HAB1.text,"You go to your room and pick up the book you saw on your bed. Its writing seems old. \n For some reason, reading some of its pages gives you a new power to understand other languages. \n\n You gain the Spell <b>{c:QItem_Alimentar_Mente1}</b>. \n\n It's late, better go to sleep. \n Remove the <color=white>{c:Tile_Habitaciones}</color> tile and all the tokens on it."
Event_DUERMES_HAB2.button1,Continue
Event_RETIRAS_BOBBY1.button1,Continue
Event_RETIRAS_BOBBY1.text,|||<color=aqua><i>"I'm going to sleep too. I'll be in my room, at the end of the corridor, if you need anything." </i></color> \n\n Remove the Bobby Foster token.|||
Event_FICHAS.button1,Continue
Event_NOCHE1.text,"That night, the stars almost drew a straight line in the sky, forming a massive, dark gap, making you become lost. \n\n \n A little shimmering glow peeked for a few moments from the pendant around your neck. It was not the first time you had seen that light."
Event_NOCHE1.button1,Continue
Event_DIA1.text,"The night passed without any major problems. Now the daylight was coming through the hotel's windows. It was no longer as scary as the previous night. \n\n It was time to take a quick shower before starting the day. The pendant had stopped shining, so  you leave it on the cabinet next to the sink before entering the water. \n\n Place the <color=#e3b529>{c:Tile_Banio}</color> Tile and the <b>Wendy Adams</b> miniature as indicated. \n\n <b>Note:</b> A new Investigator's phase starts."
Event_DIA1.button1,Continue
Event_TE_OBSERVAN_DUCHA.text,|||You have a strange feeling that someone is watching you, but you don't see anyone in the room, and the door is closed. \n "Who's there?!", you ask with a trembling voice. \n\n <b>Note:</b> Roll 1 die and select your roll result. Magnifying glasses results {clue} cannot be exchanged for successes {success}.|||
Event_TE_OBSERVAN_DUCHA.button1,Success {success}
Event_TE_OBSERVAN_DUCHA.button2,Magnifying glass {clue}
Event_TE_OBSERVAN_DUCHA.button3,Empty face
Event_TOALLAS_DENNIS.button1,Continue
Event_LUPA_DUCHA.text,You hear no response to your question. You think someone is still watching you and you decide to pay more attention to your surroundings. {observation}-1
Event_TOALLAS_DENNIS.text,|||<color=magenta><i>"Wendy! Excuse me, I'm Denise. I've come to bring you some clean towels, Bobby gave them to me."</i></color> \n\n You let her in so she can leave the clean towels on the cabinet. Denise comes out of the bathroom.|||
Event_LUPA_DUCHA.button1,Examine
Event_LUPA_DUCHA.button2,Cancel
Event_FALLAS_OBSERVAR.button1,Continue
Event_OBSERVAS_BANIO.button1,Continue
Event_FALLAS_OBSERVAR.text,Focus
Event_OBSERVAS_BANIO.text,"You look around you, paying close attention. \n You notice a brief flicker of light on the wall in front of the shower. \n\n Place the <color=yellow><i>Search</i></color> token as indicated."
Event_FALLAS_DUCHA.text,"You try to rush out of the shower, only to slip and fall to the floor. \n\n Suffer 1 facedown Damage. \n\n You quickly get to your feet despite the pain in your leg caused by the blow."
Event_FALLAS_DUCHA.button1,Continue
Event_OBJETOS_BANIO.button1,Continue
Event_OBJETOS_BANIO.text,|||"<i>Did I imagine that? I don't want to worry Bobby and Denise</i>." \n\n \n\n Place <color=yellow><i>Search</i></color> and <color=red><i>Explore</i></color> tokens as indicated.|||
Token_Toallas.text,Here are your clothes and the towels Denise left you, but where is your pendant? You left it here before you showered.
Token_Toallas.button1,{action} Search
Event_REBUSCAS_TOALLAS.text,"Frightened you rummage through the towels on the cabinet, luckily you find the pendant under the towels that Denise had left for you. You assume she hadn't noticed and left them there by mistake. \n\n Remove the Search token."
Event_REBUSCAS_TOALLAS.button1,Continue
Token_Agujero_Banio.button1,Botón1
Event_Control1_Agujero_Banio.text,There is a small hole in the wall next to the picture. It faces right in front of the shower {observation}
Event_Control1_Agujero_Banio.button1,{action} Examine
Event_Control1_Agujero_Banio.button2,Cancel
Event_MIRAS_AGUJERO.button1,Continue
Event_Control1_Pasillo2.button1,Continue
Event_MIRAS_AGUJERO.text,|||You peek through the almost imperceptible hole in the wall, but all you see is darkness. \n\n <i>"Is it possible someone was watching me through here? What's on the other side?</i>" \n\n Remove the Search token.|||
Token_Puerta_Banio.button1,Botón1
Event_SALES_BANIO.text,"The place is very quiet. You don't even hear Denise or Bobby doing chores around the hotel. \n\n Place the <b>Shelf</b> token and the <color=grey><i>Sight</i></color> token as indicated. \n You may move 1 or 2 spaces into the explored area. \n Remove the Explore token."
Event_SALES_BANIO.button1,Continue
Token_Pasillo2.text,The hall continues here.
Token_Pasillo2.button1,Move on
Event_VAS_PASILLO2.text,"Both the floor and the furniture are covered in a large amount of dust, and some areas of the walls have lost paint. \n\n Place the <color=#e3b529>{c:Tile_Pasillo2}</color> Tile, the <b>Door</b> token, the <color=red><i>Explore</i></color> token, the <color=yellow><i>Search</i></color> token and the <color=grey><i>Sight</i></color> token as indicated. \n\n \n Remove the Sight token."
Event_VAS_PASILLO2.button1,Continue
Token_Escultura1.button1,{action} Examine
Event_PRUEBA_FOTOGRAFICA.text,"You pick up a photograph hidden in this grate. They are a group of smiling sailors at the entrance of this hotel. \n\n Gain the<b>{c:QItem_Prueba_Fotografica}</b> Unique item. \n You may interact with it from the Items button (<b>Items</b>) at the bottom left corner of the application. \n\n Remove the Search token."
Event_SIMBOLO3.button1,Continue
Event_Control1_Bebida.button1,{action} Examine
Token_Escultura1.text,There are a lot of books scattered on the furniture. ({lore}: 2)
Event_Control1_Alfombra.button1,{action} Move
Event_MUEVES_ALFOMBRA.text,You pull up one side of the carpet, revealing a tiny grille that looks like a vent. There is something inside.
Event_MUEVES_ALFOMBRA.button1,{action} Open ({strength}: 2)
Token_Alfombra.button1,Botón1
Event_Control1_Alfombra.text,This dusty old carpet is slightly moved.
Event_PRUEBA_FOTOGRAFICA.button1,Continue
Event_Control0_Fotografia.button1,Botón1
Event_Control1_Fotografia.text,You found this old photograph in one of the hotel grilles.
Event_Control1_Fotografia.button1,{action} Examine
Event_Control1_Alfombra.button2,Cancel
Event_MUEVES_ALFOMBRA.button2,Cancel
Event_Control2_Alfombra.button1,Botón1
Event_EXAMINAS_FOTO.button1,Continue
Event_Control2_Fotografia.text,"The man holding a strange book is your father. \n To his right, another of the marines also grabs the book with a victorious smile. The resemblance of that man to Bobby's is striking."
Event_EXAMINAS_FOTO.text,"On closer inspection, you notice that the man holding a strange book is your father. \n To his right, another of the Marines is also clutching the book with a victorious smile. The resemblance between the man and Bobby is striking. \n\n Gain <color=green><b>2 Clues {clue}</b></color>."
Event_Control2_Fotografia.button1,Continue
Event_Control1_Fotografia.button2,Cancel
Event_Control2_Pasillo2.text,Now you are ready to leave the bathroom.
Event_Control2_Pasillo2.button1,{action} Examine
Event_Control2_Pasillo2.button2,Cancel
Event_Control1_Pasillo2.text,Dress before leaving.
Token_Puerta_Pasillo3.button1,Botón1
Token_Puerta_Hab3.button1,Botón1
Token_Puerta_Billar1.button1,Botón1
Event_Control1_Pasillo3.text,This door has a particularly complex code. You cannot yet decipher it.
Event_RESPIRACION_BOBBY.button1,Continue
Event_VES_ESCULTURA.button1,{action} Examine
Event_VES_ESCULTURA.button2,Cancel
Event_VES_ESCULTURA.text,Below this sculpture is a number with a symbol engraved on it.
Event_SIMBOLO1.button1,Continue
Event_Control1_Escultura1.button1,Botón1
Event_Control2_Escultura1.text,"Below this sculpture is an engraved number and symbol: \n <color=red>3{success}</color>."
Event_Control2_Escultura1.button1,Continue
Event_Control1_Billar.text,"A plate by the door indicates the name of the room: \n Game room."
Event_Control1_Billar.button1,{action} Open
Event_Control1_Billar.button2,Cancel
Event_ENTRAS_BILLAR.text,"As expected, this room is also full of dust. The most striking feature of this room is the huge pool table in the center. A small drinks bar and a sofa also cheerfully decorate the room. \n\n Place the <color=#e3b529>{c:Tile_Billar}</color> Tile and the <color=yellow><i>Search</i></color> tokens as indicated. \n You may move 1 or 2 spaces into the explored area. \n\n Remove the Explore token."
Event_ENTRAS_BILLAR.button1,Continue
Token_Barra_Bebidas.button1,Botón1
Event_Control1_Bebida.text,There's a small bar in this corner.
Event_Control1_Bebida.button2,Cancel
Event_WHISKY.button1,Continue
Event_WHISKY.text,"There are some broken bottles behind this bar, but at the bottom of the cabinet, you see a bottle full of alcohol. \n\n Place the <b>{c:QItem_Whisky}</b> Common Item as indicated; you can pick it up using 1 {action}. \n\n Remove the Search token."
